"Something went wrong while collecting the order price summary.","Something went wrong while collecting the order price summary."
"Whoops, our bad... the step you requested was not found.","Whoops, our bad... the step you requested was not found."
"Back to %1","Back to %1"
"Proceed to %1","Proceed to %1"
"No checkout steps found","No checkout steps found"
"No checkout steps found (customer ID: %1)","No checkout steps found (customer ID: %1)"
"You must login or register to activate an address.","You must login or register to activate an address."
"The billing address is locked by the shipping address.","The billing address is locked by the shipping address."
"This address does not belong to you. Please try again","This address does not belong to you. Please try again"
"Something went wrong while activating the address.","Something went wrong while activating the address."
"None of the given checkout types were found","None of the given checkout types were found"
"A form modifier with name ""%1"" already exists","A form modifier with name ""%1"" already exists"
"Element renderer for ""%1"" not found in ""%2""","Element renderer for ""%1"" not found in ""%2"""
"It looks like you selected a country which is not available (%1). Please select a different country from the available options.","It looks like you selected a country which is not available (%1). Please select a different country from the available options."
"Step %1 cannot be set as the current step","Step %1 cannot be set as the current step"
"%1 address could not be found.","%1 address could not be found."
"%1 address cannot be shown due to a technical malfunction.","%1 address cannot be shown due to a technical malfunction."
"Renderer by code %1 does not exist","Renderer by code %1 does not exist"
"Address cannot be shown due to a technical malfunction.","Address cannot be shown due to a technical malfunction."
"Something went wrong during checkout initialization. Please refresh the page.","Something went wrong during checkout initialization. Please refresh the page."
"Read Terms & Conditions","Read Terms & Conditions"
"You've reached the maximum amount of characters","You've reached the maximum amount of characters"
"saved successfully","saved successfully"
"saving","saving"
"Accept Terms","Accept Terms"
"Deny Terms","Deny Terms"
"No shipping method selected.","No shipping method selected."
"Order process completed successfully.","Order process completed successfully."
"You are being redirected, please wait...","You are being redirected, please wait..."
"If no email tooltip was manually configured, the field will fallback using the original ""We'll send your order confirmation here"" Luma Checkout text as its tooltip description.","If no email tooltip was manually configured, the field will fallback using the original ""We'll send your order confirmation here"" Luma Checkout text as its tooltip description."
"If no telephone tooltip was manually configured, the field will fallback using the original ""For delivery questions"" Luma Checkout text as its tooltip description.","If no telephone tooltip was manually configured, the field will fallback using the original ""For delivery questions"" Luma Checkout text as its tooltip description."
